2010-11-17 13:56:12,爱咋咋地,中间忒长了……前后还行。。,5,力荐,69,0.7505306105137619
2010-11-17 17:15:39,西弗勒斯.斯内普,比较忠实原著，节奏感较强，笑点不多但不错，魔法部那段太有喜感了！略有瑕疵，有些书本里没有的，本可以拍出来使影片更精彩的部分，就这么一笔带过了（比如：穆迪的牺牲），实在可惜。 我给4颗星吧。,4,推荐,233,0.9516218763575198
2010-11-17 20:13:06,欢狸猫,"1.片长2小时13分钟(除片尾字幕); 2.基本忠实原著,主色调比较黑暗,不少惊悚画面, 带小孩看的注意 3.零星几个笑点都挺好笑的; 4.赫敏越来越标致了; 5.没读过原著的看来来可能理解有些费力.6.动作场面略欠火候; 7.哈利和赫敏的裸戏大亮",4,推荐,478,0.4871290089680135
2010-11-18 02:13:33,Xenophilius,一开始就给了个悲情的基调  看得难受但却很像看完  大概是看完书太久 很多情节都不记得了  这部比起之前的 大家的演技都大涨呀,5,力荐,162,0.999994418765897
2010-11-18 20:45:09,卡卡卡,当哈利深情望着赫敏搂着她在帐篷里翩翩起舞时，当赫敏倚在哈利肩头用温柔的声音道圣诞快乐时，当哈利和赫敏赤裸相拥在冰河上贴身激吻时，我怒从心起！！导演你少拍点奸情戏会死会死啊！！！仍然给5星，为赫敏的颜。,5,力荐,1423,0.9999997731099854
2010-11-19 03:02:40,Q。,没看过原著的人可能会被不少人名弄混淆。色调是越来越暗，整个电影就是无尽的奔跑，除了中间部分略有拖沓，上下部分节奏控制得很好。电影中零星出现的笑点总是能逗得整个影院哄堂大笑，特别是哈里与赫敏在帐篷那段舞蹈尤为打动人。Btw，死亡圣器的那段童话故事的皮影戏个人觉得十分有意思。★★★★,4,推荐,1106,0.9999999999211464
2010-11-19 08:19:57,Algae,作为一个专业的哈利波特迷，我从未对哪部该系列电影满意过，但我不得不承认，死圣拍的确实非常好，三位主角演技也都有了极大的提高。在如此阴暗的主旋律下，还高频率的出现高质量笑点，更属不易了。哈利与赫敏起舞之时，我喜极而泣~ 笑容，旋转，灯光，乐曲...各种感动...明年7月15，再见。,5,力荐,117,0.9999999998255468
2010-11-19 15:21:13,Mumu,火车被搜查时那个男孩儿说my father will hear about this，如果是字幕组一定会翻译成我爸是李刚吧……,5,力荐,1781,0.7916008863408779
2010-11-19 23:32:34,D I D A,如果不是最完美，也是最完整。当血染半身的罗恩用黑色的眼眶爆发出演技的光彩，当缱绻伤怀的赫敏跳着平凡简单的舞步面对贝拉的折磨，当哈利收起小天狼星的相框面对双亲的坟墓呢喃道：Merry christmas，当小精灵多比满噙泪水躺在“朋友”的怀中沉睡……这场成人礼，即使沉重也足够完满。,5,力荐,1263,0.9999999999665798
2010-11-20 00:04:23,foldedawn,请三兄弟角逐奥斯卡最佳动画短片。,5,力荐,1790,0.2794837049902483
2010-11-20 21:07:19,天亮天黑,1.为什么不拍成连续剧？太多奇妙的细节都没表现出来。2.关于死亡圣器三兄弟的动画绝对是一个惊喜，出乎意料的好看。3.这位导演你是不是个瞎子啊，为什么对黑色那么偏爱，从TM凤凰社一直黑到现在！,4,推荐,946,0.9985701491974396
2010-11-22 23:08:08,影志,把期待降到最低的结果总是会有惊喜，比第6部好看很多，故事和感情线都非常有血有肉的一部，虽然依旧是那么冗长、无高潮，但细节、情感都更细腻动人，意犹未尽。看到结尾处，真希望它不要结束，永远演下去……《哈利·波特》即将谢幕，等待(下)集上演时，我很难保证自己不会大哭一场……,4,推荐,68,0.999999999999766
2010-11-25 07:56:18,TORO VAN DARKO,这是该电影系列中情感最丰富的一部。其实此系列早不再是展示魔法炫耀特效的大片，只是到了这一部导演才成功平衡了叙事，情感和特效，使其成为拥有情感内核的优质剧情片。一直抱有错误期待的观众自然会失望，而在我心目中这是迄今最好，最忠实原著，也是个人最喜欢的一部，就算有缺陷也瑕不掩瑜了。,5,力荐,153,0.9999999999925024
2014-02-01 20:12:24,国王KING,凛冬将至。,5,力荐,25,0.6923786120385603
2018-04-18 19:30:51,小晗要当锦鲤,长大的哈利背负了好多好多的责任,4,推荐,121,0.9970964685039958
2018-04-18 19:32:03,biang,他的成长过程将是引导我走上正确人生道路的风向标！,5,力荐,28,0.9997794070702464
2020-09-12 00:18:35,畅M,多比一生都在寻求尊重和平等，他在哈利身上得到了这些，并且愿意为哈利舍身犯险付出生命。,5,力荐,313,0.9999893874141454
2022-05-28 17:18:34,BranT.B,多比没有主人，多比是一个自由的小精灵 😭😭😭,4,推荐,102,0.965458334066191
2022-10-28 19:56:49,绊脚猫,“这地方真美，还能和朋友一起。多比很开心，能和朋友在一起。哈利波特....”,4,推荐,36,0.9999636616248346
